data,ground_truth,score,thumbsUpCount,problem_report,feature_request,irrelevant,ori_lang,app
Impossible d'ouvrir quoi que ce soit depuis la dernière mise à jour qui semblait sympa. Plus rien ne s'ouvre !#!!,21,1,0,1,0,0,fr,Huawei Health
"Même problème que beaucoup, application bloquée, j'ai beau désinstaller et installer à nouveau l'application, le problème subsiste. Comment remédier au problème ? Merci",21,1,0,1,0,0,fr,Huawei Health
Can't sync sleep data since last update (on Samsung Galaxy J6+),31,2,0,1,0,0,en,Huawei Health
Depuis la dernière mise à jour quand je retire le bracelet c'est considéré comme un temps de sieste.. Gros bug..,31,5,0,1,0,0,fr,Huawei Health
"Les valeurs de calories sont très en dessous de celles données par d'autres applications , à paramètres égaux. ( Ex Adidas).L'exercice ergomètre ne permet pas de rentrer les kms parcourus ni d'indiquer les calories consommées données par l'appareil qui tient compte des exercices et de la charge réelle. L'application se contente du temps et du rythme cardiaque. Application trop rigide !",2,1,0,1,1,0,fr,Huawei Health
"Cannot edit notifications - either always on top or the app is not working Cannot change language on my Honor Band 5 - so I cannot use it (no HU support; no EN default language) Cannot edit regions, so 0 functions can be used No reply from Customer Care..",26,2,0,1,1,0,en,Huawei Health
Needs serious updates. It doesn't show maps after the first use. Step  counter is also defective,19,1,0,1,0,0,en,Huawei Health
It keeps stopping,21,4,0,1,0,0,en,Huawei Health
Défaut de fonctionnement de l application avec Samsung grand prime?,23,1,0,1,0,0,fr,Huawei Health
N'arrive pas a changer les cadrans et à mettre à jour dans l'application comme le dit D G,40,4,0,1,0,0,fr,Huawei Health
"L'application ne fonctionne plus du tout depuis environ 3 semaines. Toutes mes données sont perdues. Message d'erreur à chaque démarrage. Finalement, réinstallation et ça refonctionne. Super",8,4,1,1,0,0,fr,Huawei Health
Je ne peux plus connecter mon application de messagerie alternative depuis  la dernière mise à jour sur le honor bande 3,5,1,0,1,0,0,fr,Huawei Health
Did not track entire route,37,3,0,1,0,0,en,Huawei Health
Not supporting Samsung s3 gear watch,28,1,0,1,0,0,en,Huawei Health
This app is not able to load watch faces. Worst app according to me,40,1,0,1,0,0,en,Huawei Health
Rubbish wants HMS core 4.0.0 or higher but impossible to get it.,14,1,0,1,0,0,en,Huawei Health
ne fonctionne pas bien depuis la mise à jour. je me réveille le matin avec 15000 pad de fait..,33,3,3,1,0,0,fr,Huawei Health
"Nuul, Impossible de se connecter au compte",18,1,0,1,0,0,fr,Huawei Health
Watch fit se connect difficilement apres la mise a jour du novembre 2021,4,1,0,1,0,0,fr,Huawei Health
Mise à jour indisponible sur le playstore et celle du site ne fonctionne pas sur mon téléphone...,38,2,0,1,0,0,fr,Huawei Health
mise à jour qui m'a fait perdre tout mes données,8,2,1,1,0,0,fr,Huawei Health
"Can't get it to work on Samsung M31, says it requires Huawei Mobile Services 4.0.0, but doesn't work even with the other app being installed. Now it keeps crashing.",14,3,1,1,0,0,en,Huawei Health
Ne me propose plus la watch GT sur un Xiaomi. Donc ma montre ne me sert a rien...,3,1,0,1,0,0,fr,Huawei Health
Difficile à synchroniser avec le téléphone LG,35,4,0,1,0,0,fr,Huawei Health
Les messages s'affichent en retard,25,1,0,1,0,0,fr,Huawei Health
"cette montre est utile can tu veux savoir l'heure ,le distance parcourue ,les notifications sur ton téléphone Message..... et les sommeil sur la montre mais can on reste assis sans bouger la montre crois con dort cest le petit problème qu'elle a donc voilà",31,4,6,1,0,0,fr,Huawei Health
Not Opening the Watch Faces Section,40,2,0,1,0,0,en,Huawei Health
Car on peut pas réanimer notre mot de passe,18,4,0,1,0,0,fr,Huawei Health
Previously working but now everytime says require a new version.May be u people got corona and not able to fix this error for one month.,39,1,0,1,0,0,en,Huawei Health
Se synchronise mal avec ma montre.,35,2,0,1,0,0,fr,Huawei Health
"Lors d'une déconnexion de la liaison BT mon honor 5 ne se reconnecte pas seul, obligé de faire connecter dans appareil, c'est pénible car on perd les notifications.",4,3,1,1,0,0,fr,Huawei Health
"Je préfèrerais largement l'ancienne version.... Dommage l'application est beaucoup moins juste, ne fonctionne pas tout le temps",21,2,1,1,1,0,fr,Huawei Health
Bug depuis la mise à jour l'application se fige au demarrage. La mise à jour Hors le playstore ma fait perdre mes enregistrement. J'ai réinstallé avec le playstore et j'ai réussi à récupérer mes données. Huwaey doit absolument se ressaisir.,21,1,1,1,0,0,fr,Huawei Health
Doesn't work after update. In one plus,21,1,2,1,0,0,en,Huawei Health
Poor app not working,21,1,0,1,0,0,en,Huawei Health
"Suddenly my Phone app stop working, asking me to download the latest version from Huawei Appgalary not sure where from I will get that.????",21,1,0,1,0,0,en,Huawei Health
Realme xt not supported watch faces and dark mode in honor band 5 plz do something I only have realme xt phone,40,1,0,1,1,0,en,Huawei Health
"takes ages to start, if at all all.",32,2,0,1,0,0,en,Huawei Health
L application ne se télécharge pas sachant que j en et besoin pour ma montre connecté ces très désagréable,9,1,0,1,0,0,fr,Huawei Health
"Impossible de connecter à Google Fit, très décevant pour le suivi d'activité. Google et Huawei devraient se mettre d'accord sur les paramètres de sécurité afin d'améliorer l'expérience utilisateurs.",13,2,0,1,0,0,fr,Huawei Health
"N'enregistre pas tous les déplacements, ni le temps d'exercice.. Dommage.",33,1,1,1,0,0,fr,Huawei Health
App is not working after latest update.,21,1,1,1,0,0,en,Huawei Health
Après l'achat d'un nouveau tel (honor 50) impossible de réinstaller l'application. En lisant les commentaires j'ai suivi les conseils en installant APK directement sur Google puis j'ai pu réinstaller l'application sur mon tel et je peux de nouveau bénéficier de ma montre connectée.,16,3,1,1,0,0,fr,Huawei Health
"Reçois les appels mais pas les messages sur ma honor watch 2 Magic,toutes les autorisations sont effectués, téléphone redmi note 7",25,3,0,1,0,0,fr,Huawei Health
Difficult to connectto my device,4,2,0,1,0,0,en,Huawei Health
Doesn't sync up heart rate with Google fit.,13,2,1,1,0,0,en,Huawei Health
"Can't pair watch 3 with s21 ultra, alway ask for update app which is already updated",28,1,1,1,0,0,en,Huawei Health
"After 2 hours, weather reports not responding. Only displays message ""check internet connection"" even the phone is online",43,1,0,1,0,0,en,Huawei Health
Crash everyday have to reinstall every day. i regret of buying Honor magic watch2 as this app is the only interface with watch. Asks for huawei id which is not compatible in other Brand mobile. Do create a dedicated app only for the watch not clubing into huawei id or allow to create it. Worst app.,6,1,1,1,1,0,en,Huawei Health
Bonne application par contre l'élévation ( dénivelé ) ne fonctionne pas malgré le fait de monter des escaliers Depuis la dernière mise à jour ne fonctionne plus avec ma montre connectée band 2 pro,11,1,0,1,0,0,fr,Huawei Health
Please fix the connectivity issue as it gets disconnect after some time and i need to reconnect it manually previously it was working fine but with new update i need to struggle with this issue which is annoying kindly fix it!,4,2,4,1,0,0,en,Huawei Health
"Application qui permet un bon suivi de l'activité physique, mais qui ne peut tout simplement pas s'ouvrir si l'on n'est pas connecté à une 4g ou wifi. Très difficile voire impossible d'obtenir le gps à partir de ma montre band 4 pro malgré l'attente. Message d'erreur de mise à jour, pourtant effectuées depuis l'appli.",7,3,13,1,0,0,fr,Huawei Health
"Was working with my Huawei wrist band and Samsung phone for 6 months and after software upgrade, doesnt work at all !!!! Why ....??? Do I have to throw away my wristband or my phone ???",21,1,0,1,0,0,en,Huawei Health
"I have the Huawei band 4 and to use it I need to configure it with this app. It was working fine until one day suddenly this app is no longer supported, even though I have the latest version of android. Because of this I am unable to use my watch at all which is very inconvenient. Please update the app so that other android devices can also use it.",16,1,193,1,0,0,en,Huawei Health
Bonne application pour débuter. Dommage que les données ne soient pas compatibles Google fit.,13,3,0,1,0,0,fr,Huawei Health
Depuis la mise à jour j'ai désinstaller et réinstaller non seulement on perd tout et il faut faire que ça désinstaller et réinstaller j'en ai marre désinstaller définitivement,8,2,0,1,0,0,fr,Huawei Health
This app count steps when I m travelling in car or bike. Please fix this issue.,33,3,0,1,0,0,en,Huawei Health
Impossible de connecter ma montre huawei,4,1,0,1,0,0,fr,Huawei Health
I am trying to sync my new Huawei Band 4 Pro to this app but keep receiving the message that the device is not supported... I've tried uninstalling the health app then reinstalling it to no avail... Any help will be much appreciated,3,1,0,1,0,0,en,Huawei Health
App stopped working since I updated. What is the issue? I stopped receiving notifications and can not able to change settings in app.,21,1,0,1,0,0,en,Huawei Health
Très déçu connection impossible entre Samsung Galaxy s7 edge et bracelet huawei band 4 pro-450 le bracelet n'est même pas visible et mise à jour impossible il me dit de vérifier ma connexion que je sois connecté en 4G ou en wifi bref passez votre chemin c'est de la piètre qualité une grosse arnaque,4,1,1,1,0,0,fr,Huawei Health
Impossible de changer les cadrans via l'application,40,2,0,1,0,0,fr,Huawei Health
Les données de sommeil ne fonctionnent plus depuis la dernière version avec la gt sport,31,5,2,1,0,0,fr,Huawei Health
"Une différence d'environ 4000 pas entre cette application et Fit et ma montre connectée, je dois faire confiance à qui?",33,1,0,1,0,0,fr,Huawei Health
Suivis du sommeil nul. Impossible d'utiliser le niveau de stress...,31,4,0,1,0,0,fr,Huawei Health
Je n ai pas Music dans recommandations sur l appli pour ma montre watch gt2 huawei... Que faire ?,20,1,0,1,0,0,fr,Huawei Health
Mauvaise sinchronisation je ne peux pas voir l'analyse de mon sommeil nul,31,2,0,1,0,0,fr,Huawei Health
"Huawei needs to update this app, as it says it does not recognise my device. I have tried downloading the app from the Huawei app Gallery too, but that keeps stopping. Very disappointing, as I can't use my new gt2e watch with my Motorola phone, it only works with my iPad, which I don't carry with me. Also, heart rate monitoring on the watch is inaccurate. Get it sorted please!!",28,1,75,1,1,0,en,Huawei Health
"Worst app , keeps on showing app has stopped. I need refund on my watch because I cannot update, cannot customize my watch face through this app, no idea what are you all doing with this app. This has been going on from more than 5-6 months, I have even given a feedback through app thinking the problem would be solved but still the problem is going on. I will 'Never' recommend anyone to by huwai watches.",38,1,6,1,1,0,en,Huawei Health
Impossible de connecter ma montre et de mettre l'application a jour,4,1,0,1,0,0,fr,Huawei Health
Not working after the recent update..,21,1,0,1,0,0,en,Huawei Health
Not good ... You can't edit the watch faces or something in the app.,40,1,0,1,0,0,en,Huawei Health
Because it doesn't work at Android version 10,21,1,0,1,0,0,en,Huawei Health
Ne fonctionne plus avec mon nouveau téléphone xaomi 11 lite.,24,1,0,1,0,0,fr,Huawei Health
Sometimes its not work on my oppo f7 mobile..plz suggest what can i do??,22,1,0,1,0,0,en,Huawei Health
Impossible de se connecter. Depuis la nouvelle mise à jour plus rien ne fonctionne.,4,1,0,1,0,0,fr,Huawei Health
It's been 1 and a half Months already...and my Honor Band 4 was quite helpful... but suddenly from the night before it's step count is not accurate anymore. I woke up today morning with the notification on band that I took 600steps while sleeping. And from this morning it's showing wrong step count on the band but correct one in the app. Please fix this problem ASAP. This is my third complaint against this gadget in a Month. Please do Something so that I can use it for atleast 2-3 years more.,33,1,3,1,0,0,en,Huawei Health
Pas de compatibilité vers Google fit,13,1,0,1,0,0,fr,Huawei Health
Not able to connect with device,4,2,0,1,0,0,en,Huawei Health
Keep crashing,6,1,0,1,0,0,en,Huawei Health
I can't use the application because of updates....they ask to update 4.0.0.in HUAWEI App gallery but I I using Samsung...in Google play store there is no updates available...so it's not fair....really disappointed...worst service ....,39,1,0,1,0,0,en,Huawei Health
Fix Huawei Health App sleep data syncing issue,31,1,0,1,0,0,en,Huawei Health
"Bonjour, impossible de connecter la watch gt 3 . . Application déjà à jour pourtant.",4,2,0,1,0,0,fr,Huawei Health
impossible de connecter ma montre dessus malgré les indications,4,1,0,1,0,0,fr,Huawei Health
Nice app but gps sometimes lose connection,12,4,0,1,0,0,en,Huawei Health
Super application mais le dénivelé ne fonctionne pas... J'enlève donc une  étoile,11,4,0,1,0,0,fr,Huawei Health
Le suivi d'activité cardiaque avec le band 3 pro ne fonctionne pas du tout. Il se désactive tout seul du coup le bracelet connecté n'a plus aucun intérêt à part donner l'heure -_-,15,1,2,1,0,0,fr,Huawei Health
Gros beug depuis 3 semaines aucune synchronisation disponible une vraie galère,35,1,0,1,0,0,fr,Huawei Health
"Dommage, d'acheter un Huawei brand 2 pro pour qu'elle ne soit pas compatible avec l'application.",3,1,1,1,0,0,fr,Huawei Health
"Depuis la dernière mise à jour, impossible de désactiver le pouls en continu !",15,1,2,1,0,0,fr,Huawei Health
Loses connectivity from smart band far too often and is very difficult to reconnect.,4,2,0,1,0,0,en,Huawei Health
Impossible de faire la mise à jour des appareil donc je peux pas connecté ma Huawei band 4,38,1,0,1,0,0,fr,Huawei Health
More than half the app in Chinese even though I selected English unistalled and reinstalled and still the same. Not helpful at all.,17,2,0,1,0,0,en,Huawei Health
Steps in app don't match Honor band 5,33,1,0,1,0,0,en,Huawei Health
Can't open the app .. please help,21,1,0,1,0,0,en,Huawei Health
"Sleep data is not working properly. Very upset, this problem is facing since new year.",31,2,3,1,0,0,en,Huawei Health
Dommage l application ne fonctionne plus et pas de réponse du service client...,21,2,1,1,0,0,fr,Huawei Health
Needs a proper sync process with strava,34,2,1,1,0,0,en,Huawei Health
marche quand il veut c'est pénible.,21,1,1,1,0,0,fr,Huawei Health
Crash in redmi note 4,6,1,0,1,0,0,en,Huawei Health
"L'application est très bien réalisée. Cependant, aucun moyen de partager les données avec Strava et même Google Fit. Le logiciel est trop ferme et pour une montre sportive, ce n'est pas un bon point.",13,3,0,1,0,0,fr,Huawei Health
Last update keeps crashing every time I open the app...,6,1,1,1,0,0,en,Huawei Health
"App stopped syncing, as reported by many other users",35,1,6,1,0,0,en,Huawei Health
Bonne application. Mais certaines mises à jours font beuguer l'application et cette dernière ne se synchronise plus avec la montre..... obligé de désinstaller et réinstaller l'application.,35,4,0,1,0,0,fr,Huawei Health
mis calculated calories burned,1,1,0,1,0,0,en,Huawei Health
Je ne peut plus me connecté a mon compte vraiment déçu,18,1,0,1,0,0,fr,Huawei Health
Impossible de mettre a jour l application et donc de connecter la montre !!,38,1,0,1,0,0,fr,Huawei Health
"Depuis la mise à jour, les donnés profil et historique ont disparu..",8,1,0,1,0,0,fr,Huawei Health
Depuis la dernière mise à jour on lève le matin et le pédomètre est déjà à 32000 ou 50000,33,1,0,1,0,0,fr,Huawei Health
Cannot connect with Strava as advertised,34,1,0,1,0,0,en,Huawei Health
doesnt work any more for no reason,21,1,0,1,0,0,en,Huawei Health
Automatic log out now I can't login or do anything if I uninstalled all data will be lost wrost app,18,1,0,1,0,0,en,Huawei Health
En attente de la résolution du bug pour le passage à l'année 2020. (la synchronisation des données du sommeil fonctionne plus) Mais impeccable par rapport à d'autres applications /,31,4,0,1,0,0,fr,Huawei Health
Gps ne fonctionne pas,12,2,0,1,0,0,fr,Huawei Health
Huawei Band 3 Pro won't connect to google fit or my fitness pal :(,13,1,0,1,0,0,en,Huawei Health
There is no watch faces and updating the app always failed,40,1,0,1,0,0,en,Huawei Health
"Je ne peux plus transférer mes exercices sur mon téléphone. Le mois dernier, tout fonctionnait correctement.",35,2,1,1,0,0,fr,Huawei Health
It is so bad it does not work,21,1,0,1,0,0,en,Huawei Health
Was working fine until I got a new phone but now my band 4 pro won't pair with the app. Sort it out,28,2,1,1,0,0,en,Huawei Health
Wont even accept my device anymore,4,1,0,1,0,0,en,Huawei Health
Can't link my watchfit as it doesnt appear in device list even after updates. Worse thing is asking for random permissions -camera location call before letting a person use the fitness band. Why is it even necessary to link the fitness band with the phone to start with? Deeply disappointed,28,1,2,1,1,0,en,Huawei Health
Problème depuis que j'ai changé de téléphone.je ne reçois plus mes notifications .certaines fonctions ne marchent plus,25,2,0,1,0,0,fr,Huawei Health
"Was doing fine until January 1st 2020, now as countless other users are saying the sleep data isn't syncing... Sort it out please or will be returning device for a full refund",31,3,2,1,0,0,en,Huawei Health
Sa marche pas sur mon Galaxy S10e ! J'ai acheté une montre Huawei GT2 mais vu que votre application ne marche pas même après avoir installé Huawei service.. Une solution ?,23,1,0,1,0,0,fr,Huawei Health
SMS ne viennent pas très nul,25,1,0,1,0,0,fr,Huawei Health
"Data on exercise do not sync, cannot see details, making app essentially useless",35,3,0,1,0,0,en,Huawei Health
"Heart rate sensor can not be enabled,",15,1,0,1,0,0,en,Huawei Health
Can not open app says its not latest version. Why isn't it the latest version 😡😡😡😡 please hurry up and release new update,39,1,0,1,0,0,en,Huawei Health
"Bonjour, J'ai pu utiliser l'application qu une demi journée est depuis elle se referme immédiatement que faire ?",21,2,0,1,0,0,fr,Huawei Health
Keep crashing .. (under Android 10 Xiaomi mi a2 device),24,1,0,1,0,0,en,Huawei Health
However the band tightened and placed one finger width away from wrist SPO2 not working in honor band 5... You should be ashamed of,30,1,0,1,0,0,en,Huawei Health
I can't pair my watch (band 6) to my Samsung A52...Please help.I received the watch as a gift.,28,2,0,1,0,0,en,Huawei Health
Stopped giving text/calls notifications after the last 3 updates. App closes every time I try to set an alarm.,25,2,0,1,0,0,en,Huawei Health
Très bien mais du mal à connecter ma montre car il faut d'abord la connecter au bloutooch mais sans ça elle est parfaite !,4,5,0,1,0,0,fr,Huawei Health
Mise a joir impossible,38,1,0,1,0,0,fr,Huawei Health
Mise à jour impossible pour trouver la honor watch GS pro A8F,4,1,0,1,0,0,fr,Huawei Health
Crashes on P20 Pro when you click to see the details of the individual exercise records.,6,1,0,1,0,0,en,Huawei Health
"Nul ! Depuis que j'ai changé de téléphone, je n'arrive soit pas à me connecter à ma montre, soit je n'arrive pas à récupérer mes anciennes données",4,1,1,1,0,0,fr,Huawei Health
My notictions dont work,25,4,0,1,0,0,en,Huawei Health
Perte des cadrans de montres suite MAJ ! (Huawei watch fit). Merci de résoudre cela svp.,40,3,0,1,0,0,fr,Huawei Health
Continually crashing since Android 10 update! Even the update with the bug fix hasn't fixed the issue!,6,1,1,1,0,0,en,Huawei Health
"Having watch GT-100, the steps in watch does not accurately count the steps. At some time the count of steps seems freezed at watch despite you are at walk but counts of steps at phone is increasing. Quite annoying as to not sure which is is the reliable source for tracking",33,1,0,1,0,0,en,Huawei Health
Depuis la mise à jour l application ne fonctionne que deux trois jours ensuite obligé de la des installer et réinstaller. C est pénible à quand une mise à jour pour régler Ça ??,21,2,0,1,0,0,fr,Huawei Health
"Depuis que j'ai changé de mobile,je ne peux plus faire fonctionner ma montre Gt, je suis très déçu, impossible de créer un nouveau compte avec mon nouveau numéro de téléphone. Je n'ai que mes yeux pour pleurer ! Je peux même pas lire l'heure car j'ai réinitialiser la montre.",0,1,0,1,0,0,fr,Huawei Health
J ai deux sources de compteurs de pas. Mon téléphone et mon bracelet comptabilise doublement les pas!,33,1,0,1,0,0,fr,Huawei Health
"Impossible de connecter ma montre,et les mise à jour ne ce font pas",4,1,0,1,0,0,fr,Huawei Health
"Toutes les données perdues ! Et la ''nouvelle'' application de change quasiment rien, mis à part qu'on a tout perdu. Vraiment déçu d'avoir perdu quasiment un an de données !!",8,1,8,1,0,0,fr,Huawei Health
Dernière mise à jour défaillante : impossible d'accéder aux choix de cadrans,40,2,0,1,0,0,fr,Huawei Health
